RegionID,RegionName,SizeRank,tier,date,income,zri,PercentIncomeSpentOnRent
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-06-30,2e4,1366,0.8196
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-06-30,14e4,2220,0.19028571428571428
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-09-30,20200,1380,0.8198019801980198
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-09-30,141600,2251,0.19076271186440677
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2013-12-31,20400,1387,0.8158823529411765
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2013-12-31,143200,2279,0.1909776536312849
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-03-31,20600,1393,0.8114563106796117
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-03-31,144800,2317,0.19201657458563537
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-06-30,20800,1406,0.8111538461538461
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-06-30,146400,2367,0.19401639344262295
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-09-30,20896.2,1429,0.8206276739311453
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-09-30,148010.4,2425,0.19660780593796112
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2014-12-31,20992.4,1465,0.8374459328137802
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2014-12-31,149620.8,2486,0.199384042860351
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-03-31,21088.6,1519,0.8643532524681582
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2015-03-31,151231.2,2552,0.20249789725929568
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-06-30,21184.8,1591,0.9012121898719837
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2015-06-30,152841.6,2630,0.20648828591168897
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-09-30,21281,1683,0.9490155537803675
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2015-09-30,154452,2723,0.21156087328101936
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2015-12-31,21377.2,1791,1.005370207510806
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2015-12-31,156062.4,2858,0.21975825054593548
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2016-03-31,21473.4,1878,1.0494844784710384
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2016-03-31,157672.8,2970,0.22603771861728847
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Bottom Tier,2016-06-30,21569.6,1937,1.0776277724204437
753899,"Los Angeles-Long Beach-Anaheim, CA",2,Upper Tier,2016-06-30,159283.2,3041,0.22910137415621984
394463,"Chicago, IL",3,Bottom Tier,2010-12-31,19200,988,0.6175
394463,"Chicago, IL",3,Upper Tier,2010-12-31,127500,1587,0.14936470588235295
394463,"Chicago, IL",3,Bottom Tier,2011-03-31,19200,963,0.601875
394463,"Chicago, IL",3,Upper Tier,2011-03-31,128750,1620,0.15099029126213592
394463,"Chicago, IL",3,Bottom Tier,2011-06-30,19200,939,0.586875
394463,"Chicago, IL",3,Upper Tier,2011-06-30,13e4,1654,0.15267692307692307
394463,"Chicago, IL",3,Bottom Tier,2011-09-30,19400,916,0.5665979381443299
394463,"Chicago, IL",3,Upper Tier,2011-09-30,130750,1688,0.15492160611854686
394463,"Chicago, IL",3,Bottom Tier,2011-12-31,19600,908,0.5559183673469388
394463,"Chicago, IL",3,Upper Tier,2011-12-31,131500,1723,0.1572319391634981
394463,"Chicago, IL",3,Bottom Tier,2012-03-31,19800,914,0.553939393939394
394463,"Chicago, IL",3,Upper Tier,2012-03-31,132250,1753,0.15906238185255198
394463,"Chicago, IL",3,Bottom Tier,2012-06-30,2e4,926,0.5556
394463,"Chicago, IL",3,Upper Tier,2012-06-30,133e3,1779,0.16051127819548872
394463,"Chicago, IL",3,Bottom Tier,2012-09-30,20100,938,0.56
394463,"Chicago, IL",3,Upper Tier,2012-09-30,134075,1803,0.16137236621294052
394463,"Chicago, IL",3,Bottom Tier,2012-12-31,20200,951,0.5649504950495049
394463,"Chicago, IL",3,Upper Tier,2012-12-31,135150,1832,0.16266370699223084
394463,"Chicago, IL",3,Bottom Tier,2013-03-31,20300,964,0.5698522167487685
394463,"Chicago, IL",3,Upper Tier,2013-03-31,136225,1861,0.16393466691135988
394463,"Chicago, IL",3,Bottom Tier,2013-06-30,20400,980,0.5764705882352941
394463,"Chicago, IL",3,Upper Tier,2013-06-30,137300,1882,0.16448652585579024
394463,"Chicago, IL",3,Bottom Tier,2013-09-30,20550,995,0.581021897810219
394463,"Chicago, IL",3,Upper Tier,2013-09-30,138725,1899,0.1642674355739773
394463,"Chicago, IL",3,Bottom Tier,2013-12-31,20700,1007,0.5837681159420289
394463,"Chicago, IL",3,Upper Tier,2013-12-31,140150,1910,0.16353906528719228
394463,"Chicago, IL",3,Bottom Tier,2014-03-31,20850,1015,0.5841726618705037
394463,"Chicago, IL",3,Upper Tier,2014-03-31,141575,1925,0.1631644004944376
394463,"Chicago, IL",3,Bottom Tier,2014-06-30,21e3,1027,0.5868571428571429
394463,"Chicago, IL",3,Upper Tier,2014-06-30,143e3,1947,0.16338461538461538
394463,"Chicago, IL",3,Bottom Tier,2014-09-30,21097.125,1043,0.5932561901206918
394463,"Chicago, IL",3,Upper Tier,2014-09-30,144573,1971,0.1635990122637007
394463,"Chicago, IL",3,Bottom Tier,2014-12-31,21194.25,1058,0.59903039739552
394463,"Chicago, IL",3,Upper Tier,2014-12-31,146146,1982,0.16274136822082028
394463,"Chicago, IL",3,Bottom Tier,2015-03-31,21291.375,1073,0.6047519241946563
394463,"Chicago, IL",3,Upper Tier,2015-03-31,147719,1977,0.16060222449380243
394463,"Chicago, IL",3,Bottom Tier,2015-06-30,21388.5,1086,0.6092993898590364
394463,"Chicago, IL",3,Upper Tier,2015-06-30,149292,1967,0.15810626155453741
394463,"Chicago, IL",3,Bottom Tier,2015-09-30,21485.625,1097,0.6126887162928703
394463,"Chicago, IL",3,Upper Tier,2015-09-30,150865,1956,0.15558280581977266
